"key","type","question-zh","question-en","question-vi","question-id","options_A_en","options_A_zh","options_A_vi","options_A_id","options_B_en","options_B_zh","options_B_vi","options_B_id","options_C_en","options_C_zh","options_C_vi","options_C_id","options_D_en","options_D_zh","options_D_vi","options_D_id","answer","answer-en","answer-zh","answer-vi","answer-id","explanation_en","explanation_zh","explanation_vi","explanation_id","image"
"quiz.q11","mcq","对话11：在这里什么是正确的用餐礼仪？","Conversation 11: What is correct dining etiquette here?","Hội thoại 11: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 11: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q12","mcq","对话12：在这里什么是正确的用餐礼仪？","Conversation 12: What is correct dining etiquette here?","Hội thoại 12: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 12: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q13","mcq","对话13：在这里什么是正确的用餐礼仪？","Conversation 13: What is correct dining etiquette here?","Hội thoại 13: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 13: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q14","mcq","对话14：在这里什么是正确的用餐礼仪？","Conversation 14: What is correct dining etiquette here?","Hội thoại 14: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 14: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q15","mcq","对话15：在这里什么是正确的用餐礼仪？","Conversation 15: What is correct dining etiquette here?","Hội thoại 15: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 15: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q16","mcq","对话16：在这里什么是正确的用餐礼仪？","Conversation 16: What is correct dining etiquette here?","Hội thoại 16: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 16: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q17","mcq","对话17：在这里什么是正确的用餐礼仪？","Conversation 17: What is correct dining etiquette here?","Hội thoại 17: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 17: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q18","mcq","对话18：在这里什么是正确的用餐礼仪？","Conversation 18: What is correct dining etiquette here?","Hội thoại 18: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 18: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q19","mcq","对话19：在这里什么是正确的用餐礼仪？","Conversation 19: What is correct dining etiquette here?","Hội thoại 19: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 19: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q20","mcq","对话20：在这里什么是正确的用餐礼仪？","Conversation 20: What is correct dining etiquette here?","Hội thoại 20: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 20: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
